MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.5789									0.5789	Océanie			Nouvelle-Calédonie																		1879																									Catalogue											Sans localité précise															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.5789											Deyrolle																															MNHN	RA			PreservedSpecimen												Rhacodactylus trachyrhynchus																								
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7620									0.7620																																															Catalogue											Amgoine,mer de Banda															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7620											Musee de Leyde																															MNHN	RA			PreservedSpecimen												Chrysopelea rhodopleuron Boié, 1827																			Boié, 1827					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.9805									0.9805	Afrique			République Démocratique du Congo																																											Catalogue											Sans localité précise															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.9805											Guy Babault																															MNHN	RA			PreservedSpecimen												Chamaeleon dilepsi dilepsi																								
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.6657									0.6657	Afrique			La Réunion		Département français																																									Conformité nomenclaturale											Sans localité précise															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.6657											Mivoy																															MNHN	RA			PreservedSpecimen												Furcifer pardalis (Cuvier, 1829)																			(Cuvier, 1829)					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/1898.159									1898.159																																																										Environs de Mogador, S.E. Diabet															http://coldb.mnhn.fr/catalognumber/mnhn/ra/1898.159											BUCHET																															MNHN	RA			PreservedSpecimen												Macroprotodon cucullatus (I. Geoffroy, 1827)																			(I. Geoffroy, 1827)					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7648									0.7648	Amérique du Sud			Guyane		Departement français																																									Catalogue											Cayenne															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7648											Leprieur																															MNHN	RA			PreservedSpecimen												Thamnodynastes strigatus (Günther, 1858)																			(Günther, 1858)					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/1895.76									1895.76	Asie			Sri Lanka																																																						sans localité															http://coldb.mnhn.fr/catalognumber/mnhn/ra/1895.76											Colonel Beddome																															MNHN	RA			PreservedSpecimen												Uropeltis melanogaster (Gray, 1858)																			(Gray, 1858)					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.8815									0.8815																																															Catalogue											Environs de Blao(Cantre Viet-Nam)															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.8815											Trung Tan Ngoc 12-58																															MNHN	RA			PreservedSpecimen												Oligodon annamensis Leviton, ?																			Leviton, ?					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7690									0.7690	Asie			Chine																																											Catalogue											sans localité précise															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7690											Gernaert																															MNHN	RA			PreservedSpecimen												Naja naja (Linnaeus, 1758)																			(Linnaeus, 1758)					
MNHN	Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)		Laure Pierre	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ra	http://colhelper.mnhn.fr/	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ra		217b0d4f-c87e-4063-b6c5-78277e40e866	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	HerpNET,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Nov 24 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ra	http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7572									0.7572																																															Catalogue											Batavia(Java)															http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.7572											Regnault																															MNHN	RA			PreservedSpecimen												Ahaetulla prasina (Reinwart in Boie, 1827)																			(Reinwart in Boie, 1827)					
