ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 15									15																																																																									ANSP MAM 15									Body Mount							no data										Persian Gulf																ANSP	MAM			Occurrence												Cynocephalus hamadryas												Cercopithecidae	Papio											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 18									18																																																																									ANSP MAM 18									Body Mount							no data										Africa																ANSP	MAM			Occurrence												Cynocephalus anubis												Cercopithecidae	Papio											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 21									21																																																																									ANSP MAM 21									Body Mount																	South America:																ANSP	MAM			Occurrence												Ateles												Cebidae	Ateles											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 23									23																																																																									ANSP MAM 23									Body Mount							no data										South America																ANSP	MAM			Occurrence												Ateles pentadactylis												Cebidae	Ateles											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 24									24																																																																									ANSP MAM 24									Skin and Skull							no data										Surinam:																ANSP	MAM			Occurrence												Ateles belzebuth												Cebidae	Ateles											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 27									27																																																																									ANSP MAM 27									Body Mount							no data																										ANSP	MAM			Occurrence												Mycetes ursinus												Cebidae	Alouatta											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 33									33																																																																									ANSP MAM 33									Skin and Skull							no data										South America																ANSP	MAM			Occurrence												Leebris apella												Cebidae	Cebus											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 34									34																																																																									ANSP MAM 34									Body Mount							no data																										ANSP	MAM			Occurrence												Mycetes ursinus												Cebidae	Alouatta											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 38									38																																																																									ANSP MAM 38									Body Mount							no data										Africa																ANSP	MAM			Occurrence												Galago pallidus elegautulus												Galagonidae	Euoticus											
ANSP	ANSP Mammalogy	ANSP Mammalogy Collection	Biodiversity Informatics Manager	http://phylo.ansp.org:8080/ipt/archive.do?r=ansp_mam		http://phylo.ansp.org:8080/ipt/eml.do?r=ansp_mam	This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.	temp-ansp-mam-datasetid	5ffebb80-f762-11e1-a439-00145eb45e9a		CC0	no migrator	MaNIS,VertNet	United States	Academy of Natural Sciences of Philadelphia	PA	Mon Nov 10 00:00:00 UTC 2014	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_mam	ANSP MAM 41									41																																																																									ANSP MAM 41									Body mount, skull inside							no data										South America																ANSP	MAM			Occurrence												Saguinus midas												Callitrichidae	Saguinus											
